movie,theatre,timeUnit,startTimeDate,endTimeDate,startTimeDate_Trailer,endTimeDate_Trailer,startTimeDate_PreAds,endTimeDate_PreAds,startTimeDate_CleanUp,endTimeDate_CleanUp
 Kingsman,0,5,2020-01-26 14:15:00,2020-01-26 15:57:00,2020-01-26 13:55:00,2020-01-26 14:15:00,2020-01-26 13:40:00,2020-01-26 13:55:00,2020-01-26 15:57:00,2020-01-26 16:12:00
 Kingsman,0,15,2020-01-26 16:45:00,2020-01-26 18:27:00,2020-01-26 16:25:00,2020-01-26 16:45:00,2020-01-26 16:10:00,2020-01-26 16:25:00,2020-01-26 18:27:00,2020-01-26 18:42:00
 Kingsman,0,25,2020-01-26 19:15:00,2020-01-26 20:57:00,2020-01-26 18:55:00,2020-01-26 19:15:00,2020-01-26 18:40:00,2020-01-26 18:55:00,2020-01-26 20:57:00,2020-01-26 21:12:00
 Kingsman,0,35,2020-01-26 21:45:00,2020-01-26 23:27:00,2020-01-26 21:25:00,2020-01-26 21:45:00,2020-01-26 21:10:00,2020-01-26 21:25:00,2020-01-26 23:27:00,2020-01-26 23:42:00
 Kingsman,1,11,2020-01-26 15:45:00,2020-01-26 17:27:00,2020-01-26 15:25:00,2020-01-26 15:45:00,2020-01-26 15:10:00,2020-01-26 15:25:00,2020-01-26 17:27:00,2020-01-26 17:42:00
 Kingsman,1,21,2020-01-26 18:15:00,2020-01-26 19:57:00,2020-01-26 17:55:00,2020-01-26 18:15:00,2020-01-26 17:40:00,2020-01-26 17:55:00,2020-01-26 19:57:00,2020-01-26 20:12:00
 Kingsman,2,10,2020-01-26 15:30:00,2020-01-26 17:12:00,2020-01-26 15:10:00,2020-01-26 15:30:00,2020-01-26 14:55:00,2020-01-26 15:10:00,2020-01-26 17:12:00,2020-01-26 17:27:00
 Kingsman,2,20,2020-01-26 18:00:00,2020-01-26 19:42:00,2020-01-26 17:40:00,2020-01-26 18:00:00,2020-01-26 17:25:00,2020-01-26 17:40:00,2020-01-26 19:42:00,2020-01-26 19:57:00
 Wizards,2,0,2020-01-26 13:00:00,2020-01-26 14:31:00,2020-01-26 12:50:00,2020-01-26 13:00:00,2020-01-26 12:20:00,2020-01-26 12:50:00,2020-01-26 14:31:00,2020-01-26 14:46:00
 Wizards,2,31,2020-01-26 20:45:00,2020-01-26 22:16:00,2020-01-26 20:35:00,2020-01-26 20:45:00,2020-01-26 20:05:00,2020-01-26 20:35:00,2020-01-26 22:16:00,2020-01-26 22:31:00
 Showtime,1,0,2020-01-26 13:00:00,2020-01-26 14:37:00,2020-01-26 12:40:00,2020-01-26 13:00:00,2020-01-26 12:10:00,2020-01-26 12:40:00,2020-01-26 14:37:00,2020-01-26 14:57:00
 Showtime,1,32,2020-01-26 21:00:00,2020-01-26 22:37:00,2020-01-26 20:40:00,2020-01-26 21:00:00,2020-01-26 20:10:00,2020-01-26 20:40:00,2020-01-26 22:37:00,2020-01-26 22:57:00
