movie,theatre,timeUnit,startTimeDate,endTimeDate,startTimeDate_Trailer,endTimeDate_Trailer,startTimeDate_PreAds,endTimeDate_PreAds,startTimeDate_CleanUp,endTimeDate_CleanUp
 Clue,0,14,2020-01-26 16:30:00,2020-01-26 18:12:00,2020-01-26 16:20:00,2020-01-26 16:30:00,2020-01-26 15:50:00,2020-01-26 16:20:00,2020-01-26 18:12:00,2020-01-26 18:27:00
 Clue,0,25,2020-01-26 19:15:00,2020-01-26 20:57:00,2020-01-26 19:05:00,2020-01-26 19:15:00,2020-01-26 18:35:00,2020-01-26 19:05:00,2020-01-26 20:57:00,2020-01-26 21:12:00
 Clue,0,35,2020-01-26 21:45:00,2020-01-26 23:27:00,2020-01-26 21:35:00,2020-01-26 21:45:00,2020-01-26 21:05:00,2020-01-26 21:35:00,2020-01-26 23:27:00,2020-01-26 23:42:00
 Clue,1,0,2020-01-26 13:00:00,2020-01-26 14:42:00,2020-01-26 12:50:00,2020-01-26 13:00:00,2020-01-26 12:20:00,2020-01-26 12:50:00,2020-01-26 14:42:00,2020-01-26 14:57:00
 Clue,1,12,2020-01-26 16:00:00,2020-01-26 17:42:00,2020-01-26 15:50:00,2020-01-26 16:00:00,2020-01-26 15:20:00,2020-01-26 15:50:00,2020-01-26 17:42:00,2020-01-26 17:57:00
 Clue,1,23,2020-01-26 18:45:00,2020-01-26 20:27:00,2020-01-26 18:35:00,2020-01-26 18:45:00,2020-01-26 18:05:00,2020-01-26 18:35:00,2020-01-26 20:27:00,2020-01-26 20:42:00
 Clue,2,10,2020-01-26 15:30:00,2020-01-26 17:12:00,2020-01-26 15:20:00,2020-01-26 15:30:00,2020-01-26 14:50:00,2020-01-26 15:20:00,2020-01-26 17:12:00,2020-01-26 17:27:00
 Clue,2,21,2020-01-26 18:15:00,2020-01-26 19:57:00,2020-01-26 18:05:00,2020-01-26 18:15:00,2020-01-26 17:35:00,2020-01-26 18:05:00,2020-01-26 19:57:00,2020-01-26 20:12:00
 Another One,2,0,2020-01-26 13:00:00,2020-01-26 14:31:00,2020-01-26 12:40:00,2020-01-26 13:00:00,2020-01-26 12:10:00,2020-01-26 12:40:00,2020-01-26 14:31:00,2020-01-26 14:46:00
 Another One,2,38,2020-01-26 22:30:00,2020-01-27 00:01:00,2020-01-26 22:10:00,2020-01-26 22:30:00,2020-01-26 21:40:00,2020-01-26 22:10:00,2020-01-27 00:01:00,2020-01-27 00:16:00
 Beta,0,2,2020-01-26 13:30:00,2020-01-26 15:07:00,2020-01-26 13:10:00,2020-01-26 13:30:00,2020-01-26 12:40:00,2020-01-26 13:10:00,2020-01-26 15:07:00,2020-01-26 15:27:00
 Beta,1,36,2020-01-26 22:00:00,2020-01-26 23:37:00,2020-01-26 21:40:00,2020-01-26 22:00:00,2020-01-26 21:10:00,2020-01-26 21:40:00,2020-01-26 23:37:00,2020-01-26 23:57:00
